entry,module,gene,assessment,role,evidence,context,limitation,evidence_location,review_note,citations,identifiers,source_urls
1,FOXO,ImpL2,Context-dependent,Secreted insulin-signaling antagonist,ImpL2 expression changes after dfoxo deletion. The adult study does not detect nearby dFOXO binding.,Adult female D. melanogaster; transcriptomics and ChIP-chip.,"Supports an IIS/FOXO-associated gene, not a universally activated direct FOXO target.","Results and Discussion, Imp-L2 and extracellular IIS components.",Describe as associated with the process. Do not call a validated direct transcriptional target.,Alic N et al. (2011),DOI: 10.1038/msb.2011.36,https://pubmed.ncbi.nlm.nih.gov/21694719/
2,FOXO,Lsp1gamma,Not verified,"Larval serum protein 1, gamma chain",The primary cloning study supports larval serum-protein identity. A gene-specific dFOXO relationship was not verified.,D. melanogaster; developmental expression and molecular cloning.,Storage-protein function does not itself establish FOXO regulation. Do not substitute evidence for Lsp2.,"Smith et al., cloning of the three LSP1-chain genes.",Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Smith DF et al. (1981),DOI: 10.1016/0092-8674(81)90139-2,https://pubmed.ncbi.nlm.nih.gov/6781759/
3,FOXO,Gadd45,Not verified,Stress-response regulator,A fly muscle study finds Gadd45 induced by activated REPTOR but not activated Foxo in that experiment.,D. melanogaster flight muscle.,"This is context-specific negative evidence, not proof that FOXO can never regulate Gadd45. Mammalian GADD45 evidence cannot establish the fly relationship.","Results and Supplementary Fig. 5d, REPTOR versus Foxo activation.",Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Saavedra P et al. (2023),DOI: 10.1038/s41467-023-40595-1,https://pubmed.ncbi.nlm.nih.gov/37582831/
4,FOXO,Lsp1alpha,Not verified,"Larval serum protein 1, alpha chain",The primary cloning study supports larval serum-protein identity. A gene-specific dFOXO relationship was not verified.,D. melanogaster; developmental expression and molecular cloning.,Storage-protein function does not itself establish FOXO regulation. Do not substitute evidence for Lsp2.,"Smith et al., cloning of the three LSP1-chain genes.",Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Smith DF et al. (1981),DOI: 10.1016/0092-8674(81)90139-2,https://pubmed.ncbi.nlm.nih.gov/6781759/
5,FOXO,GstE1,Supported,Glutathione S-transferase; stress response,"GstE1 mRNA decreases in two foxo-mutant larval genotypes, shown individually in Fig. 3A.",D. melanogaster whole third-instar larvae; qPCR.,Expression dependence supports inclusion. The six promoters tested by ChIP in Fig. 4 do not include GstE1.,"Fig. 3A visually checked; Results, Foxo-dependent expression.",Describe as associated with the process. Do not call a validated direct transcriptional target.,Liu X et al. (2014),DOI: 10.1371/journal.pgen.1004676,https://pubmed.ncbi.nlm.nih.gov/25329053/
6,FOXO,Atg6,Context-dependent,Autophagy component,FOXO represses the Activin ligand daw. Inhibiting daw/Smox increases Atg6 expression in muscle.,D. melanogaster adult muscle.,Supports an indirect FOXO–Activin–autophagy relationship rather than verified direct FOXO binding at Atg6.,"Results, Activin suppression and autophagy-gene expression.",Describe as associated with the process. Do not call a validated direct transcriptional target.,Bai H et al. (2013),DOI: 10.1371/journal.pgen.1003941,https://pubmed.ncbi.nlm.nih.gov/24244197/
7,FOXO,Ilp6,Supported,Insulin-like peptide 6 (dilp6),Fat-body dFOXO increases dilp6 expression. dilp6 knockdown blocks effects of fat-body dFOXO.,Adult D. melanogaster fat body and endocrine signaling.,Tissue-specific functional evidence. It does not establish direct promoter binding in the manuscript samples.,Abstract and results on dFOXO-dependent dilp6 expression.,Publication supports biological inclusion. No replacement is indicated by this audit alone.,Bai H et al. (2012),DOI: 10.1111/acel.12000,https://pubmed.ncbi.nlm.nih.gov/22935001/
8,FOXO,puc,Supported,Puckered; JNK-feedback phosphatase,dFOXO binding at puc is reported in two longevity genotypes. A second study uses puc as a Foxo-bound promoter.,D. melanogaster adult ChIP-seq and larval ChIP.,Binding supports association but does not specify the direction of regulation in dMIC60 samples.,"Bai et al., Results and Table S1; Liu et al., Fig. 6A.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Bai H et al. (2013); Liu X et al. (2014),DOI: 10.1371/journal.pgen.1003941; DOI: 10.1371/journal.pgen.1004676,"https://pubmed.ncbi.nlm.nih.gov/24244197/
https://pubmed.ncbi.nlm.nih.gov/25329053/"
9,FOXO,Rbf,Context-dependent,Retinoblastoma-family cell-cycle regulator,A primary research note reports that Rbf knockdown modifies the eye phenotype caused by foxo overexpression.,D. melanogaster eye; genetic interaction.,A brief Research Notes report supports a genetic association. It does not establish Rbf as a direct FOXO target.,"Research Notes pp. 65–68, Fig. 2 and Results.",Describe as associated with the process. Do not call a validated direct transcriptional target.,Hasan A et al. (2019),See source URL,https://www.ou.edu/journals/dis/DIS102/DIS102.pdf#page=71
10,FOXO,Cat,Context-dependent,Catalase; peroxide detoxification,Catalase and Foxo each suppress ROS-associated hemocyte expansion in a fly AML1-ETO model.,D. melanogaster hemocytes; genetic suppression.,Shared antioxidant phenotypes support context. Direct dFOXO regulation of the Cat locus was not established from these experiments.,Fig. 4 and section on Foxo/SOD2 and ROS-positive precursors.,Describe as associated with the process. Do not call a validated direct transcriptional target.,Sinenko SA et al. (2010),DOI: 10.1182/blood-2010-03-276998,https://pubmed.ncbi.nlm.nih.gov/20688956/
11,FOXO,dap,Not verified,Dacapo; cyclin-dependent kinase inhibitor,"The muscle-growth paper proposes dacapo as a possible Foxo/Myc effector, drawing on mammalian studies.",D. melanogaster muscle study; proposed mechanism in Discussion.,A proposed conserved mechanism is not gene-specific proof of dFOXO regulation of dap.,"Discussion uses a proposed, not experimentally established, dacapo mechanism.",Resolve the specific named-regulator link before using a target-gene label. No replacement made.,Demontis F et al. (2009),DOI: 10.1242/dev.027466,https://pubmed.ncbi.nlm.nih.gov/19211682/
12,FOXO,Sesn,Supported,Sestrin; stress and nutrient feedback,"Chronic TOR activation induces dSesn through ROS, JNK and FoxO.",D. melanogaster; genetic and signaling experiments.,"A feedback-regulated gene, not a specific readout of FOXO activity from RNA abundance alone.","Abstract and Results, ROS/JNK/FoxO-dependent dSesn induction.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Lee JH et al. (2010),DOI: 10.1126/science.1182228,https://pubmed.ncbi.nlm.nih.gov/20203043/
13,FOXO,bmm,Supported,Brummer; triglyceride lipase,The SIK3–HDAC4 study links FOXO to bmm promoter regulation and lipolysis.,D. melanogaster fat body; feeding and fasting.,The studied upstream kinase is SIK3. Membership in the AMPK kinase family is not the same as canonical AMPK.,"Results, FOXO-dependent bmm expression and promoter association.",Publication supports biological inclusion. No replacement is indicated by this audit alone.,Wang B et al. (2011),DOI: 10.1016/j.cell.2011.04.013,https://pubmed.ncbi.nlm.nih.gov/21565616/
