original_module,gene,display_module,shown_in_revised_figure,audit_assessment,decision_reason,biological_role,published_evidence,experimental_context,interpretation_limit,evidence_location,citation,source_urls
FOXO,ImpL2,FOXO-associated genes,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Secreted insulin-signaling antagonist,ImpL2 expression changes after dfoxo deletion. The adult study does not detect nearby dFOXO binding.,Adult female D. melanogaster; transcriptomics and ChIP-chip.,"Supports an IIS/FOXO-associated gene, not a universally activated direct FOXO target.","Results and Discussion, Imp-L2 and extracellular IIS components.",Alic N et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21694719/
FOXO,Lsp1gamma,FOXO-associated genes,false,Not verified,Specific FOXO relationship not verified in checked publications.,"Larval serum protein 1, gamma chain",The primary cloning study supports larval serum-protein identity. A gene-specific dFOXO relationship was not verified.,D. melanogaster; developmental expression and molecular cloning.,Storage-protein function does not itself establish FOXO regulation. Do not substitute evidence for Lsp2.,"Smith et al., cloning of the three LSP1-chain genes.",Smith DF et al. (1981),https://pubmed.ncbi.nlm.nih.gov/6781759/
FOXO,Gadd45,FOXO-associated genes,false,Not verified,Specific FOXO relationship not verified in checked publications.,Stress-response regulator,A fly muscle study finds Gadd45 induced by activated REPTOR but not activated Foxo in that experiment.,D. melanogaster flight muscle.,"This is context-specific negative evidence, not proof that FOXO can never regulate Gadd45. Mammalian GADD45 evidence cannot establish the fly relationship.","Results and Supplementary Fig. 5d, REPTOR versus Foxo activation.",Saavedra P et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37582831/
FOXO,Lsp1alpha,FOXO-associated genes,false,Not verified,Specific FOXO relationship not verified in checked publications.,"Larval serum protein 1, alpha chain",The primary cloning study supports larval serum-protein identity. A gene-specific dFOXO relationship was not verified.,D. melanogaster; developmental expression and molecular cloning.,Storage-protein function does not itself establish FOXO regulation. Do not substitute evidence for Lsp2.,"Smith et al., cloning of the three LSP1-chain genes.",Smith DF et al. (1981),https://pubmed.ncbi.nlm.nih.gov/6781759/
FOXO,GstE1,FOXO-associated genes,true,Supported,Retained with individual experimental publication support.,Glutathione S-transferase; stress response,"GstE1 mRNA decreases in two foxo-mutant larval genotypes, shown individually in Fig. 3A.",D. melanogaster whole third-instar larvae; qPCR.,Expression dependence supports inclusion. The six promoters tested by ChIP in Fig. 4 do not include GstE1.,"Fig. 3A visually checked; Results, Foxo-dependent expression.",Liu X et al. (2014),https://pubmed.ncbi.nlm.nih.gov/25329053/
FOXO,Atg6,FOXO-associated genes,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Autophagy component,FOXO represses the Activin ligand daw. Inhibiting daw/Smox increases Atg6 expression in muscle.,D. melanogaster adult muscle.,Supports an indirect FOXO–Activin–autophagy relationship rather than verified direct FOXO binding at Atg6.,"Results, Activin suppression and autophagy-gene expression.",Bai H et al. (2013),https://pubmed.ncbi.nlm.nih.gov/24244197/
FOXO,Ilp6,FOXO-associated genes,true,Supported,Retained with individual experimental publication support.,Insulin-like peptide 6 (dilp6),Fat-body dFOXO increases dilp6 expression. dilp6 knockdown blocks effects of fat-body dFOXO.,Adult D. melanogaster fat body and endocrine signaling.,Tissue-specific functional evidence. It does not establish direct promoter binding in the manuscript samples.,Abstract and results on dFOXO-dependent dilp6 expression.,Bai H et al. (2012),https://pubmed.ncbi.nlm.nih.gov/22935001/
FOXO,puc,FOXO-associated genes,true,Supported,Retained with individual experimental publication support.,Puckered; JNK-feedback phosphatase,dFOXO binding at puc is reported in two longevity genotypes. A second study uses puc as a Foxo-bound promoter.,D. melanogaster adult ChIP-seq and larval ChIP.,Binding supports association but does not specify the direction of regulation in dMIC60 samples.,"Bai et al., Results and Table S1; Liu et al., Fig. 6A.",Bai H et al. (2013); Liu X et al. (2014),"https://pubmed.ncbi.nlm.nih.gov/24244197/
https://pubmed.ncbi.nlm.nih.gov/25329053/"
FOXO,Rbf,FOXO-associated genes,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Retinoblastoma-family cell-cycle regulator,A primary research note reports that Rbf knockdown modifies the eye phenotype caused by foxo overexpression.,D. melanogaster eye; genetic interaction.,A brief Research Notes report supports a genetic association. It does not establish Rbf as a direct FOXO target.,"Research Notes pp. 65–68, Fig. 2 and Results.",Hasan A et al. (2019),https://www.ou.edu/journals/dis/DIS102/DIS102.pdf#page=71
FOXO,Cat,FOXO-associated genes,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Catalase; peroxide detoxification,Catalase and Foxo each suppress ROS-associated hemocyte expansion in a fly AML1-ETO model.,D. melanogaster hemocytes; genetic suppression.,Shared antioxidant phenotypes support context. Direct dFOXO regulation of the Cat locus was not established from these experiments.,Fig. 4 and section on Foxo/SOD2 and ROS-positive precursors.,Sinenko SA et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20688956/
FOXO,dap,FOXO-associated genes,false,Not verified,Specific FOXO relationship not verified in checked publications.,Dacapo; cyclin-dependent kinase inhibitor,"The muscle-growth paper proposes dacapo as a possible Foxo/Myc effector, drawing on mammalian studies.",D. melanogaster muscle study; proposed mechanism in Discussion.,A proposed conserved mechanism is not gene-specific proof of dFOXO regulation of dap.,"Discussion uses a proposed, not experimentally established, dacapo mechanism.",Demontis F et al. (2009),https://pubmed.ncbi.nlm.nih.gov/19211682/
